Wavenumber,Absorbance
2392.20107,0.02992
2390.14060,0.02961
2388.08013,0.02940
2386.01967,0.02914
2383.95920,0.02886
2381.89873,0.02877
2379.83827,0.02864
2377.77780,0.02828
2375.71734,0.02801
2373.65687,0.02789
2371.59640,0.02753
2369.53594,0.02699
2367.47547,0.02663
2365.41501,0.02640
2363.35454,0.02613
2361.29407,0.02585
2359.23361,0.02567
2357.17314,0.02541
2355.11268,0.02514
2353.05221,0.02519
2350.99174,0.02536
2348.93128,0.02539
2346.87081,0.02525
2344.81035,0.02495
2342.74988,0.02462
2340.68941,0.02426
2338.62895,0.02386
2336.56848,0.02349
2334.50802,0.02331
2332.44755,0.02354
2330.38708,0.02385
2328.32662,0.02364
2326.26615,0.02321
2324.20569,0.02296
2322.14522,0.02287
2320.08475,0.02281
2318.02429,0.02255
2315.96382,0.02210
2313.90336,0.02181
2311.84289,0.02158
2309.78242,0.02112
2307.72196,0.02065
2305.66149,0.02042
2303.60103,0.02033
2301.54056,0.02018
2299.48009,0.01991
2297.41963,0.01964
2295.35916,0.01939
2293.29870,0.01919
2291.23823,0.01916
2289.17776,0.01917
2287.11730,0.01914
2285.05683,0.01899
2282.99637,0.01848
2280.93590,0.01786
2278.87543,0.01768
2276.81497,0.01784
2274.75450,0.01770
2272.69404,0.01724
2270.63357,0.01686
2268.57310,0.01680
2266.51264,0.01710
2264.45217,0.01726
2262.39170,0.01698
2260.33124,0.01668
2258.27077,0.01657
2256.21031,0.01643
2254.14984,0.01616
2252.08937,0.01577
2250.02891,0.01543
2247.96844,0.01536
2245.90798,0.01525
2243.84751,0.01506
2241.78704,0.01515
2239.72658,0.01540
2237.66611,0.01544
2235.60565,0.01521
2233.54518,0.01483
2231.48471,0.01452
2229.42425,0.01447
2227.36378,0.01457
2225.30332,0.01414
2223.24285,0.01333
2221.18238,0.01292
2219.12192,0.01285
2217.06145,0.01308
2215.00099,0.01354
2212.94052,0.01361
2210.88005,0.01343
2208.81959,0.01352
2206.75912,0.01386
2204.69866,0.01436
2202.63819,0.01462
2200.57772,0.01402
2198.51726,0.01284
2196.45679,0.01217
2194.39633,0.01213
2192.33586,0.01212
2190.27539,0.01216
2188.21493,0.01248
2186.15446,0.01317
2184.09400,0.01353
2182.03353,0.01306
2179.97306,0.01218
2177.91260,0.01169
2175.85213,0.01165
2173.79167,0.01161
2171.73120,0.01159
2169.67073,0.01147
2167.61027,0.01130
2165.54980,0.01146
2163.48934,0.01174
2161.42887,0.01159
2159.36840,0.01110
2157.30794,0.01084
2155.24747,0.01112
2153.18701,0.01130
2151.12654,0.01090
2149.06607,0.01096
2147.00561,0.01136
2144.94514,0.01076
2142.88468,0.01022
2140.82421,0.01081
2138.76374,0.01122
2136.70328,0.01103
2134.64281,0.01087
2132.58234,0.01075
2130.52188,0.01061
2128.46141,0.01037
2126.40095,0.01036
2124.34048,0.01073
2122.28001,0.01067
2120.21955,0.01017
2118.15908,0.01004
2116.09862,0.01011
2114.03815,0.01007
2111.97768,0.01008
2109.91722,0.01002
2107.85675,0.00986
2105.79629,0.01004
2103.73582,0.01044
2101.67535,0.01033
2099.61489,0.00967
2097.55442,0.00908
2095.49396,0.00899
2093.43349,0.00927
2091.37302,0.00940
2089.31256,0.00946
2087.25209,0.00981
2085.19163,0.00996
2083.13116,0.00938
2081.07069,0.00854
2079.01023,0.00810
2076.94976,0.00803
2074.88930,0.00813
2072.82883,0.00827
2070.76836,0.00841
2068.70790,0.00881
2066.64743,0.00918
2064.58697,0.00889
2062.52650,0.00819
2060.46603,0.00801
2058.40557,0.00842
2056.34510,0.00824
2054.28464,0.00732
2052.22417,0.00666
2050.16370,0.00625
2048.10324,0.00593
2046.04277,0.00638
2043.98231,0.00754
2041.92184,0.00837
2039.86137,0.00837
2037.80091,0.00789
2035.74044,0.00739
2033.67998,0.00724
2031.61951,0.00750
2029.55904,0.00743
2027.49858,0.00699
2025.43811,0.00736
2023.37765,0.00819
2021.31718,0.00826
2019.25671,0.00812
2017.19625,0.00831
2015.13578,0.00816
2013.07531,0.00709
2011.01485,0.00593
2008.95438,0.00588
2006.89392,0.00636
2004.83345,0.00686
2002.77298,0.00731
2000.71252,0.00713
1998.65205,0.00653
1996.59159,0.00645
1994.53112,0.00703
1992.47065,0.00732
1990.41019,0.00721
1988.34972,0.00739
1986.28926,0.00772
1984.22879,0.00791
1982.16832,0.00807
1980.10786,0.00814
1978.04739,0.00784
1975.98693,0.00692
1973.92646,0.00609
1971.86599,0.00624
1969.80553,0.00692
1967.74506,0.00752
1965.68460,0.00805
1963.62413,0.00857
1961.56366,0.00859
1959.50320,0.00772
1957.44273,0.00686
1955.38227,0.00695
1953.32180,0.00729
1951.26133,0.00684
1949.20087,0.00630
1947.14040,0.00652
1945.07994,0.00694
1943.01947,0.00709
1940.95900,0.00708
1938.89854,0.00706
1936.83807,0.00702
1934.77761,0.00684
1932.71714,0.00672
1930.65667,0.00666
1928.59621,0.00672
1926.53574,0.00703
1924.47528,0.00702
1922.41481,0.00643
1920.35434,0.00584
1918.29388,0.00556
1916.23341,0.00566
1914.17295,0.00584
1912.11248,0.00583
1910.05201,0.00574
1907.99155,0.00569
1905.93108,0.00573
1903.87062,0.00592
1901.81015,0.00609
1899.74968,0.00605
1897.68922,0.00607
1895.62875,0.00629
1893.56828,0.00651
1891.50782,0.00653
1889.44735,0.00641
1887.38689,0.00643
1885.32642,0.00656
1883.26595,0.00659
1881.20549,0.00666
1879.14502,0.00704
1877.08456,0.00744
1875.02409,0.00754
1872.96362,0.00758
1870.90316,0.00784
1868.84269,0.00805
1866.78223,0.00805
1864.72176,0.00809
1862.66129,0.00817
1860.60083,0.00812
1858.54036,0.00783
1856.47990,0.00734
1854.41943,0.00687
1852.35896,0.00656
1850.29850,0.00632
1848.23803,0.00602
1846.17757,0.00551
1844.11710,0.00474
1842.05663,0.00432
1839.99617,0.00446
1837.93570,0.00452
1835.87524,0.00432
1833.81477,0.00423
1831.75430,0.00419
1829.69384,0.00413
1827.63337,0.00408
1825.57291,0.00395
1823.51244,0.00372
1821.45197,0.00358
1819.39151,0.00352
1817.33104,0.00343
1815.27058,0.00336
1813.21011,0.00326
1811.14964,0.00304
1809.08918,0.00292
1807.02871,0.00299
1804.96825,0.00309
1802.90778,0.00301
1800.84731,0.00258
1798.78685,0.00210
1796.72638,0.00186
1794.66592,0.00168
1792.60545,0.00141
1790.54498,0.00120
1788.48452,0.00111
1786.42405,0.00101
1784.36359,0.00088
1782.30312,0.00064
1780.24265,0.00034
1778.18219,0.00025
1776.12172,0.00030
1774.06126,0.00025
1772.00079,0.00010
1769.94032,0.00000
1767.87986,-0.00002
1765.81939,0.00013
1763.75892,0.00024
1761.69846,0.00024
1759.63799,0.00042
1757.57753,0.00082
1755.51706,0.00134
1753.45659,0.00218
1751.39613,0.00358
1749.33566,0.00564
1747.27520,0.00812
1745.21473,0.01127
1743.15426,0.01559
1741.09380,0.02173
1739.03333,0.02965
1736.97287,0.03711
1734.91240,0.04580
1732.85193,0.05742
1730.79147,0.06583
1728.73100,0.07198
1726.67054,0.07768
1724.61007,0.08343
1722.54960,0.08955
1720.48914,0.09508
1718.42867,0.10141
1716.36821,0.10962
1714.30774,0.11556
1712.24727,0.11870
1710.18681,0.12057
1708.12634,0.12190
1706.06588,0.12353
1704.00541,0.12488
1701.94494,0.12564
1699.88448,0.12808
1697.82401,0.13127
1695.76355,0.13398
1693.70308,0.13638
1691.64261,0.13760
1689.58215,0.13912
1687.52168,0.14051
1685.46122,0.14197
1683.40075,0.14551
1681.34028,0.14756
1679.27982,0.14728
1677.21935,0.14634
1675.15889,0.14517
1673.09842,0.14323
1671.03795,0.14006
1668.97749,0.13588
1666.91702,0.13146
1664.85656,0.12697
1662.79609,0.12226
1660.73562,0.11792
1658.67516,0.11421
1656.61469,0.11086
1654.55423,0.10781
1652.49376,0.10486
1650.43329,0.10235
1648.37283,0.09998
1646.31236,0.09788
1644.25189,0.09615
1642.19143,0.09442
1640.13096,0.09289
1638.07050,0.09157
1636.01003,0.09069
1633.94956,0.09011
1631.88910,0.08910
1629.82863,0.08794
1627.76817,0.08695
1625.70770,0.08607
1623.64723,0.08529
1621.58677,0.08463
1619.52630,0.08394
1617.46584,0.08383
1615.40537,0.08501
1613.34490,0.08674
1611.28444,0.08911
1609.22397,0.09282
1607.16351,0.09750
1605.10304,0.10228
1603.04257,0.10642
1600.98211,0.10898
1598.92164,0.10909
1596.86118,0.10644
1594.80071,0.10122
1592.74024,0.09428
1590.67978,0.08701
1588.61931,0.08029
1586.55885,0.07447
1584.49838,0.06948
1582.43791,0.06514
1580.37745,0.06144
1578.31698,0.05811
1576.25652,0.05436
1574.19605,0.05093
1572.13558,0.04838
1570.07512,0.04553
1568.01465,0.04264
1565.95419,0.04042
1563.89372,0.03856
1561.83325,0.03703
1559.77279,0.03533
1557.71232,0.03339
1555.65186,0.03222
1553.59139,0.03102
1551.53092,0.02972
1549.47046,0.02858
1547.40999,0.02753
1545.34953,0.02624
1543.28906,0.02457
1541.22859,0.02266
1539.16813,0.02066
1537.10766,0.01936
1535.04720,0.01812
1532.98673,0.01666
1530.92626,0.01556
1528.86580,0.01464
1526.80533,0.01344
1524.74486,0.01237
1522.68440,0.01160
1520.62393,0.01071
1518.56347,0.00960
1516.50300,0.00852
1514.44253,0.00781
1512.38207,0.00732
1510.32160,0.00663
1508.26114,0.00558
1506.20067,0.00448
1504.14020,0.00409
1502.07974,0.00384
1500.01927,0.00339
1497.95881,0.00279
1495.89834,0.00215
1493.83787,0.00167
1491.77741,0.00133
1489.71694,0.00120
1487.65648,0.00143
1485.59601,0.00183
1483.53554,0.00241
1481.47508,0.00332
1479.41461,0.00453
1477.35415,0.00606
1475.29368,0.00818
1473.23321,0.01165
1471.17275,0.01666
1469.11228,0.02143
1467.05182,0.02632
1464.99135,0.03283
1462.93088,0.03956
1460.87042,0.04455
1458.80995,0.04983
1456.74949,0.05867
1454.68902,0.06668
1452.62855,0.07171
1450.56809,0.07600
1448.50762,0.07969
1446.44716,0.08169
1444.38669,0.08131
1442.32622,0.07926
1440.26576,0.07645
1438.20529,0.07309
1436.14483,0.06916
1434.08436,0.06547
1432.02389,0.06177
1429.96343,0.05714
1427.90296,0.05193
1425.84250,0.04672
1423.78203,0.04150
1421.72156,0.03723
1419.66110,0.03419
1417.60063,0.03248
1415.54017,0.03238
1413.47970,0.03364
1411.41923,0.03655
1409.35877,0.04102
1407.29830,0.04654
1405.23783,0.05330
1403.17737,0.06036
1401.11690,0.06636
1399.05644,0.07195
1396.99597,0.07668
1394.93550,0.07985
1392.87504,0.08127
1390.81457,0.08086
1388.75411,0.07898
